"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"071024","Foggia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",73224,,
"071024","Foggia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",72935,,
"072006","Bari","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",152100,,
"072006","Bari","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",151524,,
"072006","Bari","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",164391,,
"072006","Bari","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",163760,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",100745,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",99835,,
"074001","Brindisi","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",41036,,
"074001","Brindisi","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",40513,,
"074001","Brindisi","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",44361,,
"074001","Brindisi","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",43952,,
"075035","Lecce","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",44192,,
"075035","Lecce","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",44437,,
"075035","Lecce","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",49292,,
"075035","Lecce","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",49428,,
"110001","Andria","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",48818,,
"110001","Andria","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",48621,,
"110002","Barletta","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",46383,,
"110002","Barletta","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",46300,,
"110002","Barletta","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",47052,,
"110002","Barletta","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",46975,,
"110009","Trani","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",28069,,
"110009","Trani","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",28048,,
"075002","Alessano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3055,,
"075002","Alessano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",3004,,
"075002","Alessano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3297,,
"075002","Alessano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",3249,,
"075003","Alezio","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",2686,,
"075003","Alezio","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",2716,,
"075003","Alezio","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",2930,,
