id_comune,anno,numero_maschi,numero_femmine
73023,2019,880,917
73023,2020,884,910
75059,2019,4212,4631
75059,2020,4195,4595
73024,2019,7107,7575
73024,2020,7008,7525
75060,2019,805,877
75060,2020,777,865
73025,2019,4509,4554
73025,2020,4493,4522
75061,2019,2827,3117
75061,2020,2817,3095
73026,2019,7559,8049
73026,2020,7507,7999
75071,2019,1632,1837
75071,2020,1640,1836
75062,2019,2430,2717
75021,2019,2813,3021
75021,2020,2786,2989
75063,2019,5300,5582
75063,2020,5245,5542
71056,2019,8283,8482
71056,2020,8284,8483
73028,2019,2065,2117
73028,2020,2053,2116
74009,2019,6845,7229
74009,2020,6767,7178
74010,2019,12386,13587
74010,2020,12370,13508
71059,2019,3661,3864
71059,2020,3660,3833
75051,2019,2348,2540
75051,2020,2337,2528
74011,2019,7194,7709
74011,2020,7177,7663
71060,2019,6833,6885
71060,2020,6807,6865
74012,2019,14740,15988
74012,2020,14703,15930
74013,2019,3090,3313
74013,2020,3052,3246
73029,2019,6688,6887
73029,2020,6569,6852
74014,2019,3066,3159
74014,2020,3078,3158
74015,2019,4745,5026
74015,2020,4653,4971
74016,2019,6367,7038
74016,2020,6321,6974
74017,2019,9061,9605
74017,2020,9004,9520
74018,2019,2603,2701
74018,2020,2576,2682
75069,2019,2620,2972
75069,2020,2584,2967
74019,2019,5001,5320
74019,2020,4984,5278
74020,2019,4525,4553
74020,2020,4518,4517
75086,2019,1409,1409
75086,2020,1406,1403
75066,2019,2157,2392
75066,2020,2166,2385
75041,2019,799,816
75041,2020,792,812
75042,2019,5485,5850
75042,2020,5414,5810
75043,2019,4870,5032
75043,2020,4867,5065
75044,2019,3332,3596
75044,2020,3311,3570
75067,2019,698,758
75067,2020,706,755
75045,2019,1056,1126
75045,2020,1060,1121
75046,2019,1628,1827
75046,2020,1601,1810
75072,2019,1409,1544
75072,2020,1393,1542
75047,2019,1682,1910
75047,2020,1666,1890
75048,2019,6713,7095
75048,2020,6632,7041
75049,2019,1290,1339
75049,2020,1271,1351
75068,2019,3859,4229
75068,2020,3794,4193
75001,2019,2187,2366
75002,2019,3055,3297
75002,2020,3004,3249
75003,2019,2686,2930
75003,2020,2716,2960
75004,2019,3150,3456
75004,2020,3132,3401
75005,2019,2299,2432
75005,2020,2262,2404
75006,2019,4374,4764
75006,2020,4342,4745
75007,2019,2004,2032
75007,2020,1982,2013
75008,2019,882,933
75008,2020,884,924
75009,2019,1274,1425
75009,2020,1265,1410
75010,2019,3206,3656
75010,2020,3199,3650
75011,2019,4803,5302
75011,2020,4745,5237
75012,2019,830,847
75012,2020,837,832
75013,2019,1136,1264
75013,2020,1139,1247
75014,2019,5760,6106
75014,2020,5717,6031
75015,2019,1832,1878
75015,2020,1842,1862
75016,2019,9472,10429
75016,2020,9353,10379
75017,2019,1396,1449
75017,2020,1382,1423
75018,2019,1850,1984
75018,2020,1821,1958
75019,2019,2512,2700
75019,2020,2491,2716
75020,2019,6056,6541
75020,2020,6050,6536
75052,2019,14688,16097
75052,2020,14660,16097
75022,2019,11466,12217
75022,2020,11402,12092
75023,2019,2703,3035
75023,2020,2683,3016
75024,2019,2652,2683
75024,2020,2626,2652
74001,2019,41036,44361
74001,2020,40513,43952
74002,2019,8583,8439
74002,2020,8636,8460
74003,2019,9241,10131
74003,2020,9163,10078
74004,2019,3045,3356
74004,2020,3012,3321
74005,2019,5540,5898
74005,2020,5494,5863
74006,2019,4119,4333
74006,2020,4094,4299
75025,2019,1984,2063
75025,2020,1953,2046
74008,2019,17257,18446
74008,2020,17150,18347
75026,2019,4225,4633
75026,2020,4182,4616
75027,2019,1396,1538
75027,2020,1390,1516
75035,2019,44192,49292
75035,2020,44437,49428
74007,2019,19076,20105
74007,2020,19001,20024
75028,2019,2470,2608
75028,2020,2461,2593
75029,2019,12603,13834
75029,2020,12524,13677
75030,2019,7332,7910
75030,2020,7289,7856
75031,2019,9882,10536
75031,2020,9824,10417
75032,2019,574,602
75032,2020,566,589
75033,2019,946,977
75033,2020,950,985
75034,2019,2703,2941
75034,2020,2681,2897
75036,2019,4120,4377
75036,2020,4163,4413
75039,2019,6576,7454
75039,2020,6528,7365
75037,2019,6812,7150
75037,2020,6769,7112
75038,2019,5705,5945
75038,2020,5700,5986
75040,2019,4211,4625
75040,2020,4207,4578
73001,2019,3105,3370
73001,2020,3088,3348
73002,2019,3365,3520
73002,2020,3303,3452
73003,2019,8092,8440
73003,2020,8034,8361
73004,2019,6578,6813
73004,2020,6532,6730
73005,2019,1689,1771
73005,2020,1687,1768
73006,2019,2485,2660
73006,2020,2457,2638
73007,2019,10879,10964
73007,2020,10829,10939
73008,2019,15255,16250
73008,2020,15088,16101
73009,2019,7385,7637
73009,2020,7355,7588
73010,2019,4052,4032
73010,2020,4043,4005
73011,2019,4811,5001
73011,2020,4767,4965
73012,2019,14793,15676
73012,2020,14679,15568
73013,2019,23207,24951
73013,2020,23030,24783
73014,2019,2593,2645
73014,2020,2617,2620
73015,2019,15783,16334
73015,2020,15780,16283
73016,2019,2683,2845
73016,2020,2663,2829
75050,2019,1471,1719
75050,2020,1455,1698
75057,2019,2841,3022
75057,2020,2818,3009
75058,2019,718,734
75058,2020,711,719
73020,2019,3722,3948
73020,2020,3703,3927
73021,2019,7943,8049
73021,2020,7932,7995
73017,2019,1831,1908
73017,2020,1823,1889
73018,2019,1149,1203
73018,2020,1132,1195
73019,2019,7714,8012
73019,2020,7637,7981
72001,2019,9818,10441
72001,2020,9776,10413
72002,2019,8181,8532
72002,2020,8173,8486
73027,2019,92030,100745
73027,2020,91215,99835
72004,2019,34355,35653
72004,2020,34331,35668
72003,2019,5159,5501
72003,2020,5142,5453
72006,2019,152100,164391
72006,2020,151524,163760
73022,2019,5672,5761
73022,2020,5611,5752
72008,2019,1115,1089
