;;;;;;;
Riepilogo complessivo qualita dell'aria ;;;;;;;
* Il valore fa riferimento al numero dei superamenti del PM10 nel periodo tra il 01/01/ 2019 e il 01/01/2019 ;;;;;;;
NB - Per unita di misura, valore di soglia e parametro di valutazione fare riferimento a quanto riportato sul sito web www.arpa.puglia.it - sezione aria  ;;;;;;;
Provincia: Bari ;;;;;;;
Inquinante: PM10 ;;;;;;;
;;;;;;;
NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
;;;;;;;
Altamura - Via Santeramo;2019-01-01 00:00:00.0;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;2019-01-02 00:00:00.0;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;2019-01-03 00:00:00.0;Bari;Altamura;PM10;6;7
Altamura - Via Santeramo;2019-01-04 00:00:00.0;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;2019-01-05 00:00:00.0;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;2019-01-06 00:00:00.0;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;2019-01-07 00:00:00.0;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;2019-01-08 00:00:00.0;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;2019-01-09 00:00:00.0;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;2019-01-10 00:00:00.0;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;2019-01-11 00:00:00.0;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;2019-01-12 00:00:00.0;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;2019-01-13 00:00:00.0;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;2019-01-14 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-01-15 00:00:00.0;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;2019-01-16 00:00:00.0;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;2019-01-17 00:00:00.0;Bari;Altamura;PM10;30;7
Altamura - Via Santeramo;2019-01-18 00:00:00.0;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;2019-01-19 00:00:00.0;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;2019-01-20 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-01-21 00:00:00.0;Bari;Altamura;PM10;18;7
