nome,lat,long,id_comune
I.T.C. La Porta,40.1742781,18.1678388,75029
Mezzo Mobile Via Trani,41.3214976,16.2868696,110002
Casardi,41.3109177,16.2672775,110002
Terminal Passeggeri,40.6395295,17.945526,74001
I.T.C. De Castro,40.1184626,18.2988529,75039
Cavour,41.11982,16.8726769,72006
Via Martina,40.6494362,17.5114127,74003
Vaccina,41.2316157,16.3027261,110001
Machiavelli,40.487443,17.2223259,73027
Alto Adige,40.4610758,17.2636121,73027
Municipio,41.6861478,15.3804495,71051
EN01,41.1084971,16.691548,72011
I.T.C. Costa,40.3984955,18.0183191,75011
Via Santeramo,40.828706,16.5565132,72004
Casale,40.6443456,17.9139349,74001
Rosati,41.4612482,15.5529227,71024
Via Taranto,40.7327059,17.360355,74001
Liceo Artistico Russo,40.9522369,17.299948,72030
Pitagora,40.3558676,18.1913776,75035
Don Minzoni,40.4873816,18.0543041,74018
Archimede,40.4954332,17.23126,73027
CISI,40.4712427,17.2432278,73027
LaPenna,40.9531774,16.919872,72015
Fanin,40.4867594,18.0506584,74018
Posta del Principe,41.6897761,15.3776211,71051
Libertini,40.3513302,18.1646164,75035
Cerrate,40.4585876,18.115592602226002,75035
EN02,41.0825639,16.7805515,72027
IperCoop,41.3187979,16.2943147,110002
Colacem,40.167648549999996,18.198488184818945,75029
Aldo Moro,40.9715933,17.2630835,72030
Caldarola,41.1004727,16.9165013,72006
Garigliano,40.36338,18.1731129,75035
Azienda Russo,41.6897761,15.3776211,71051
Giorgilorio,40.3850606,18.1479058,75083
Cap. di porto,41.6254728,15.9095926,71029
Filzi,40.5294244,17.5885558,74008
Talsano,40.4169787,17.276603,73027
Japigia,41.1137621,16.8969474,72006
CUS,41.1350288,16.844924681209278,72006
Verdi,41.2002982,16.6050079,72029
STANIC,41.1066193,16.8199752,72006
De Santis,40.3517868,18.1768467,75035
EN05,41.057532,16.700782,72033
Ex Comes,41.137925,15.514654,71009
Frappietri,40.59366,17.1166754,73015
CIAPI,41.1257843,16.8620293,72006
Lendinuso,40.4977322,18.0717964,74018
Croce,40.4023536,18.1279722,75083
San Vito,40.4181471,17.2146149,73027
Mandorli,41.4196494,15.7114979,71029
Sorgenti,40.5643207,17.2035744,73029
Michelangelo,41.6141017,15.8947754,71029
Scuola,41.137925,15.514654,71009
Stadio,40.491529,17.998918,74016
Stazione,40.6998251,17.3330949,73013
Bozzano,40.6245536,17.9403153,74001
Deledda,40.4228236,17.8455456,74015
XXV Luglio,40.5371279,17.4252745,73008
ENAIP,41.0825639,16.7805515,72027
EN04,41.0825639,16.7805515,72027
Wind,40.563225,17.209799,73029
Palio,40.3624332,18.1921737,75035
S. Barbara,40.1742781,18.1678388,75029
Ungaretti,41.637868499999996,15.92844991485402,71029
Magna Grecia,41.0901428,16.7761518,72027
SISRI,40.6395295,17.945526,74001
Carbonara,41.0705135,16.8714173,72006
Cappuccini,40.6324139,17.9240933,74001
ASM,41.1992456,16.5968279,72029
Kennedy,41.1010989,16.8645877,72006
Mille,40.6395573,17.9389805,74001
Via Udine,40.5650988,17.8072494,74010
Riesci,40.3351996,18.0916278,75007
EN03,41.0825639,16.7805515,72027
Politecnico,41.1092176,16.8851188,72006
Via vecchia San Pietro in Lama,40.3372966,18.1580897,75035
Perrino,40.6323101,17.9510169,74001
Villa Baldassarri,40.401227,17.949018,75034
